City,Population,Violent crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Lakemoor,"6,002",1,0,0,0,1,29,4,25,0,0
Lake Villa,"8,859",8,0,1,1,6,71,6,65,0,2
Lakewood,"3,800",1,0,1,0,0,4,0,4,0,0
Lake Zurich,"20,143",8,0,1,2,5,288,26,262,0,2
Lansing,"28,555",84,3,8,55,18,"1,399",177,"1,152",70,3
La Salle,"9,256",5,0,0,0,5,235,30,202,3,0
Lawrenceville,"4,392",15,0,1,0,14,74,33,33,8,0
Lemont,"16,801",5,0,3,1,1,176,21,147,8,4
Lenzburg,493,1,0,0,0,1,7,3,4,0,0
Le Roy,"3,611",4,0,1,0,3,61,17,41,3,0
Libertyville,"20,555",12,0,0,3,9,220,24,193,3,0
Lincoln,"14,082",41,0,4,9,28,342,53,274,15,2
Lincolnshire,"7,295",1,0,0,0,1,50,7,41,2,1
Lincolnwood,"12,710",12,0,0,6,6,391,47,332,12,1
Lindenhurst,"14,484",3,0,3,0,0,64,7,57,0,0
Lisle,"22,917",17,0,8,6,3,193,32,156,5,1
Litchfield,"6,882",7,0,0,1,6,229,33,189,7,1
Lockport,"25,166",10,0,3,2,5,231,34,191,6,2
Lombard,"44,008",48,0,11,16,21,855,77,766,12,3
Loves Park,"23,440",80,0,8,18,54,612,106,472,34,3
Lovington,"1,104",2,0,0,0,2,11,1,10,0,0
Lyons,"10,783",12,0,2,3,7,122,14,99,9,1
Machesney Park,"22,923",68,1,11,6,50,408,91,300,17,2
Macomb,"18,859",71,0,15,3,53,269,55,207,7,2
Mahomet,"8,130",8,0,4,0,4,51,11,38,2,0
Malta,"1,158",0,0,0,0,0,1,0,1,0,0
Manhattan,"7,357",6,0,0,0,6,22,3,18,1,1
Maple Park,"1,314",0,0,0,0,0,9,0,9,0,0
Marengo,"7,472",3,0,1,0,2,77,15,59,3,1
Marine,934,1,0,0,0,1,12,5,6,1,0
Marissa,"1,859",12,0,3,0,9,36,6,28,2,7
Maroa,"1,745",4,0,0,0,4,10,4,6,0,0
Marquette Heights,"2,782",2,0,0,0,2,17,2,15,0,0
Marseilles,"4,965",9,0,2,0,7,71,11,60,0,0
Marshall,"3,920",1,0,0,0,1,23,5,17,1,0
Martinsville,"1,148",3,0,1,0,2,31,4,27,0,0
Maryville,"7,902",8,0,3,0,5,82,15,64,3,0
Mascoutah,"7,951",3,0,1,0,2,38,9,29,0,0
Matteson,"19,190",51,0,4,28,19,597,71,486,40,0
Mattoon,"18,123",83,0,23,4,56,365,75,286,4,7
Maywood,"24,141",235,13,24,85,113,631,221,312,98,5
McCook,232,2,0,0,0,2,33,7,22,4,0
McCullom Lake,"1,020",0,0,0,0,0,1,1,0,0,0
McHenry,"26,534",38,0,6,4,28,280,24,250,6,0
McLean,821,1,0,0,0,1,7,3,4,0,0
Melrose Park,"25,532",31,3,5,9,14,284,43,200,41,1
Mendota,"7,227",5,0,1,1,3,98,33,65,0,1
Metropolis,"6,349",39,0,6,3,30,292,52,228,12,0
Midlothian,"14,932",27,2,3,15,7,359,121,225,13,2
Milan,"5,090",12,0,3,2,7,92,17,75,0,0
Milledgeville,979,0,0,0,0,0,10,2,7,1,0
Millstadt,"3,907",3,0,0,0,3,24,2,22,0,0
Mokena,"19,618",14,0,4,3,7,238,23,211,4,1
Moline,"42,482",179,1,28,19,131,"1,294",174,"1,105",15,3
Monmouth,"9,548",36,0,7,4,25,179,29,148,2,1
Montgomery,"19,520",23,0,12,3,8,245,35,209,1,1
Monticello,"5,509",4,0,0,0,4,34,8,26,0,0
Morris,"14,258",14,0,3,2,9,305,53,248,4,9
Morrison,"4,124",9,0,4,0,5,24,3,20,1,0
Morton,"16,554",8,0,1,0,7,125,24,98,3,0
Morton Grove,"23,548",12,0,0,5,7,253,53,192,8,0
Mount Carmel,"6,975",22,0,0,0,22,113,23,88,2,4
Mount Carroll,"1,615",1,0,0,0,1,37,4,33,0,0
Mount Olive,"2,014",3,0,0,0,3,4,1,3,0,0
Mount Prospect,"55,119",37,0,3,12,22,502,54,433,15,0
Mount Pulaski,"1,519",3,0,0,0,3,2,1,1,0,0
Mount Vernon,"15,154",203,2,19,31,151,912,196,704,12,17
Mount Zion,"5,899",8,0,2,0,6,30,6,22,2,0
Moweaqua,"1,764",2,0,0,0,2,9,2,6,1,0
Mundelein,"31,687",19,0,10,3,6,287,30,249,8,3
Murphysboro,"7,770",33,0,3,7,23,327,58,269,0,0
Naperville,"147,101",128,0,14,27,87,"1,652",161,"1,458",33,3
Nashville,"3,123",31,0,0,0,31,75,6,66,3,0
New Athens,"1,957",2,0,0,0,2,16,2,14,0,0
New Baden,"3,323",0,0,0,0,0,33,0,33,0,7
New Berlin,"1,357",0,0,0,0,0,9,1,8,0,0
New Lenox,"25,682",27,0,9,6,12,264,44,214,6,3
Niles,"30,044",26,0,2,7,17,534,73,448,13,2
Nokomis,"2,180",5,0,0,0,5,27,4,23,0,0
Normal,"55,096",120,0,38,17,65,"1,175",194,948,33,1
Norridge,"14,697",10,0,2,3,5,495,32,451,12,0
North Aurora,"17,492",13,0,2,4,7,221,35,182,4,0
Northbrook,"33,768",13,0,5,6,2,355,43,306,6,2
Northfield,"5,497",1,0,1,0,0,35,3,30,2,0
Northlake,"12,382",11,1,1,2,7,258,39,216,3,0
North Riverside,"6,703",15,0,0,10,5,411,10,392,9,0
Oak Brook,"8,108",10,0,1,1,8,499,23,474,2,0
Oakbrook Terrace,"2,180",3,0,1,0,2,98,11,86,1,0
Oak Forest,"28,222",38,0,8,13,17,272,50,205,17,0
Oak Lawn,"57,112",71,0,8,22,41,816,107,671,38,1
Oakwood,"1,530",3,0,0,2,1,16,4,12,0,0
Oakwood Hills,"2,067",0,0,0,0,0,13,0,12,1,0
Oblong,"1,416",5,0,0,0,5,21,9,12,0,0
O'Fallon,"29,159",36,0,11,7,18,488,52,421,15,2
Okawville,"1,395",3,0,0,0,3,14,1,11,2,0
Old Shawneetown,176,0,0,0,0,0,1,0,1,0,0
Olney,"9,006",19,0,5,1,13,256,30,214,12,4
Olympia Fields,"5,058",6,0,4,1,1,121,15,104,2,0
Onarga,"1,321",0,0,0,0,0,12,8,4,0,0
Orion,"1,827",2,0,0,0,2,18,3,14,1,0
Orland Park,"59,161",26,0,1,11,14,"1,203",32,"1,157",14,1
Oswego,"33,774",26,0,11,3,12,458,33,418,7,1
Ottawa,"18,350",24,0,2,2,20,446,46,399,1,2
Palatine,"69,583",36,0,8,15,13,603,18,569,16,2
Palestine,"1,321",14,0,2,0,12,23,3,19,1,0
Palos Heights,"12,616",0,0,0,0,0,66,4,59,3,1
Palos Hills,"17,660",8,0,1,1,6,104,19,78,7,0
Palos Park,"4,919",0,0,0,0,0,35,4,29,2,0
Paris,"8,419",26,0,3,0,23,216,74,122,20,2
Park City,"7,410",7,0,4,1,2,130,38,77,15,0
Park Forest,"22,046",73,1,15,26,31,398,95,283,20,5
Patoka,564,0,0,0,0,0,0,0,0,0,0
Pawnee,"2,721",1,0,0,0,1,4,4,0,0,0
Paxton,"4,310",25,0,4,2,19,84,22,61,1,0
Pecatonica,"2,123",5,0,2,0,3,16,2,14,0,0
Pekin,"33,759",114,1,24,6,83,756,95,631,30,3
Peoria,"116,066",772,14,64,310,384,"4,448","1,084","3,224",140,38
Peoria Heights,"6,006",33,0,10,4,19,168,48,113,7,3
Peotone,"4,133",0,0,0,0,0,31,4,23,4,0
Peru,"9,948",18,0,3,2,13,195,20,173,2,0
Petersburg,"2,206",8,0,0,0,8,17,5,12,0,0
Phoenix,"1,970",13,0,1,5,7,54,25,22,7,0
Pierron,566,0,0,0,0,0,0,0,0,0,0
Pinckneyville,"5,509",2,0,0,0,2,36,7,29,0,0
Pittsfield,"4,473",7,0,0,2,5,75,11,62,2,0
Plainfield,"42,706",39,1,10,7,21,348,44,294,10,2
Plano,"11,247",5,0,0,5,0,126,11,112,3,0
Pleasant Hill,938,0,0,0,0,0,1,1,0,0,0
Pleasant Plains,804,0,0,0,0,0,5,0,5,0,0
Pontoon Beach,"5,631",6,0,1,2,3,82,11,67,4,3
Posen,"6,029",7,0,0,5,2,99,29,62,8,1
Potomac,724,0,0,0,0,0,6,2,4,0,0
Prairie Grove,"1,868",0,0,0,0,0,4,1,3,0,0
Princeton,"7,357",19,0,2,2,15,108,21,86,1,0
Prophetstown,"1,990",0,0,0,0,0,0,0,0,0,0
Prospect Heights,"16,456",14,0,1,2,11,112,19,86,7,0
Quincy,"40,834",205,5,31,9,160,"1,104",231,841,32,6
Raleigh,347,0,0,0,0,0,8,2,6,0,0
Rankin,540,0,0,0,0,0,0,0,0,0,0
Rantoul,"13,138",61,0,14,9,38,455,129,305,21,9
Red Bud,"3,587",5,0,1,0,4,28,6,19,3,0
Richmond,"1,899",6,0,0,1,5,28,5,22,1,0
Richton Park,"13,775",39,0,7,25,7,315,57,233,25,0
Ridge Farm,855,0,0,0,0,0,5,2,3,0,0
River Forest,"11,216",19,1,0,5,13,260,75,182,3,3
River Grove,"10,281",17,0,2,5,10,130,29,85,16,1
Riverside,"8,882",57,0,0,0,57,83,11,71,1,0
Riverton,"3,475",14,0,1,0,13,57,6,49,2,1
Riverwoods,"3,658",0,0,0,0,0,26,5,21,0,0
Robinson,"7,600",21,0,0,0,21,138,21,108,9,1
Rochester,"3,788",6,0,2,0,4,23,4,18,1,1
Rockdale,"1,952",2,0,0,1,1,9,2,4,3,0
Rock Falls,"8,982",26,0,3,2,21,139,56,83,0,0
Rockford,"148,178","2,349",19,148,504,"1,678","5,856","1,440","3,928",488,63
Rock Island,"38,551",170,2,3,22,143,906,168,678,60,10
Rolling Meadows,"24,321",17,0,3,3,11,215,26,184,5,0
Roscoe,"10,559",10,0,0,0,10,105,23,77,5,0
Roselle,"23,094",16,0,3,7,6,152,18,130,4,6
Rosemont,"4,231",35,1,3,4,27,301,10,276,15,0
Round Lake,"18,584",21,0,4,2,15,173,25,145,3,0
Round Lake Beach,"27,983",47,0,16,10,21,534,47,479,8,1
Round Lake Heights,"2,731",2,0,0,0,2,34,3,29,2,0
Roxana,"1,484",9,0,2,1,6,32,3,29,0,0
Ruma,318,0,0,0,0,0,0,0,0,0,0
Rushville,"3,083",3,0,0,0,3,24,3,21,0,0
Salem,"7,298",20,1,12,2,5,315,54,253,8,6
Sauget,152,3,1,0,1,1,80,4,63,13,0
Savanna,"2,869",7,0,2,1,4,82,18,62,2,0
Schaumburg,"75,050",55,1,13,18,23,"1,820",127,"1,652",41,2
Schiller Park,"11,871",14,1,2,5,6,205,33,161,11,1
Shawneetown,"1,155",4,0,1,0,3,18,7,10,1,0
Sherman,"4,600",3,0,1,0,2,22,6,15,1,0
Shiloh,"13,023",23,1,2,5,15,204,37,159,8,2
Shorewood,"16,796",17,2,4,0,11,198,22,165,11,0
Sidell,592,0,0,0,0,0,0,0,0,0,0
Silvis,"7,529",26,0,6,2,18,232,30,201,1,0
Skokie,"65,184",154,0,15,29,110,"1,333",229,"1,055",49,3
Sleepy Hollow,"3,348",1,0,0,0,1,11,2,9,0,0
Smithton,"3,738",3,0,0,1,2,14,2,12,0,0
South Barrington,"4,883",1,0,0,1,0,51,9,42,0,0
South Beloit,"7,677",21,0,4,4,13,109,22,78,9,0
South Chicago Heights,"4,161",12,0,0,6,6,156,17,134,5,1
South Elgin,"22,280",18,0,0,2,16,264,18,244,2,0
South Holland,"22,169",66,1,6,43,16,460,74,342,44,1
South Jacksonville,"3,256",0,0,0,0,0,4,2,2,0,0
South Pekin,"1,136",4,0,0,0,4,25,6,19,0,0
South Roxana,"2,000",10,0,10,0,0,29,14,13,2,1
Springfield,"116,875","1,251",11,103,257,880,"5,321","1,131","3,997",193,57
Spring Grove,"5,712",0,0,0,0,0,25,1,23,1,1
Spring Valley,"5,314",4,0,1,1,2,70,18,52,0,0
Stanford,586,1,0,0,0,1,8,3,5,0,0
St. Anne,"1,222",3,0,0,0,3,25,8,17,0,0
Staunton,"5,019",13,0,2,0,11,42,8,34,0,1
St. Charles,"33,489",22,0,3,4,15,407,42,356,9,2
Steger,"9,552",31,0,3,10,18,319,61,242,16,2
St. Elmo,"1,400",3,0,0,0,3,29,2,26,1,0
Sterling,"14,909",39,0,19,7,13,558,71,473,14,2
Stickney,"6,825",6,0,1,3,2,82,3,75,4,1
St. Jacob,"1,159",2,0,0,0,2,8,1,7,0,0
Stockton,"1,795",5,0,2,0,3,46,10,34,2,0
Streamwood,"40,451",50,0,5,12,33,580,50,516,14,1
Streator,"13,189",54,0,26,8,20,550,80,460,10,7
Summit,"11,547",36,1,1,12,22,196,20,139,37,4
Sycamore,"17,813",16,0,3,1,12,206,12,186,8,1
Taylorville,"10,898",5,0,0,1,4,101,30,65,6,3
Thomasboro,"1,145",4,0,2,0,2,24,9,12,3,0
Thornton,"2,403",2,0,0,2,0,35,7,27,1,0
Tilton,"2,629",11,0,3,1,7,41,9,32,0,0
Tinley Park,"57,403",55,0,6,12,37,678,81,581,16,2
Tolono,"3,512",3,0,2,0,1,34,10,22,2,0
Tonica,738,0,0,0,0,0,2,2,0,0,0
Tower Lakes,"1,261",0,0,0,0,0,5,1,4,0,0
Troy,"10,019",15,0,1,1,13,70,12,53,5,0
Tuscola,"4,458",33,0,0,0,33,70,13,54,3,0
University Park,"7,087",13,1,2,7,3,87,14,68,5,0
Valmeyer,"1,261",0,0,0,0,0,10,1,9,0,0
Vernon Hills,"26,132",12,0,1,6,5,516,61,451,4,1
Vienna,"1,436",3,0,1,0,2,12,4,7,1,0
Villa Park,"22,067",21,0,8,4,9,399,21,364,14,0
Virden,"3,406",8,0,3,0,5,89,27,59,3,0
Virginia,"1,537",1,0,0,0,1,3,0,3,0,0
Warren,"1,381",7,0,1,1,5,11,4,7,0,0
Warrensburg,"1,168",4,0,0,0,4,12,4,8,0,0
Warrenville,"13,373",13,0,6,4,3,118,12,100,6,0
Warsaw,"1,544",4,0,2,0,2,12,6,2,4,0
Washington,"15,962",7,0,1,0,6,143,40,103,0,0
Washington Park,"4,003",70,1,0,19,50,149,22,109,18,1
Waterloo,"10,224",1,0,0,0,1,29,1,28,0,0
Wauconda,"13,954",6,0,2,1,3,95,13,79,3,0
Waukegan,"88,855",386,1,17,160,208,"2,415",490,"1,796",129,27
Waverly,"1,266",0,0,0,0,0,2,2,0,0,0
Westchester,"16,827",14,0,7,3,4,222,39,177,6,1
West Chicago,"27,578",22,1,6,10,5,358,67,273,18,3
West Dundee,"7,405",1,0,0,1,0,126,8,118,0,0
Western Springs,"13,359",1,0,0,0,1,42,10,31,1,0
West Frankfort,"8,025",2,0,0,2,0,163,68,83,12,1
Westmont,"25,034",23,0,3,7,13,326,51,267,8,5
Westville,"3,109",12,0,2,0,10,41,14,26,1,0
Wheaton,"53,800",23,0,2,9,12,388,60,321,7,5
Wheeling,"38,092",50,0,8,10,32,406,73,324,9,0
White Hall,"2,416",6,0,1,0,5,39,21,17,1,0
Willowbrook,"8,651",13,0,2,3,8,138,15,116,7,0
Willow Springs,"5,720",2,0,0,1,1,22,3,18,1,0
Wilmette,"27,531",7,0,2,1,4,372,64,298,10,0
Wilmington,"5,703",5,0,0,1,4,51,9,39,3,0
Winfield,"9,679",3,0,1,0,2,27,4,21,2,0
Winnebago,"3,008",0,0,0,0,0,35,2,33,0,0
Winnetka,"12,563",2,0,1,0,1,89,12,75,2,0
Winthrop Harbor,"6,722",13,0,8,0,5,68,13,50,5,0
Witt,868,0,0,0,0,0,10,6,4,0,0
Wood Dale,"13,986",7,0,0,3,4,171,23,142,6,0
Woodridge,"33,473",31,1,8,11,11,374,40,321,13,7
Woodstock,"25,262",30,1,9,3,17,342,46,285,11,0
Worth,"10,848",9,0,0,2,7,97,22,64,11,1
Yates City,675,1,0,0,0,1,6,1,5,0,0
Yorkville,"18,379",22,0,9,3,10,159,21,132,6,1
Zion,"24,239",149,3,28,32,86,732,180,494,58,7
